AoA,nBlades,BladeL,Mean Avg Static Pressure [Pa],Mass Flow [g/s]
85.0,22.0,0.005,-38.901599861912416,8.220238557302954
90.0,42.000004,0.005,-26.633177466830798,8.162443954239635
45.0,26.0,0.005,-26.198136086305038,7.301569634495167
45.0,38.0,0.005,-29.78233857016591,7.719037663641521
75.0,26.0,0.005,-29.888005032830048,8.065983929700812
90.0,58.0,0.005,-31.646512232555843,8.029549141655478
70.0,38.0,0.005,-34.785728740873594,8.465570880434289
45.0,58.0,0.005,-26.986921135754248,7.624393090976544
80.0,38.0,0.005,-32.168505228299225,8.470685589719428
75.0,50.000004,0.005,-31.439651252543992,8.460415490904222
45.0,34.0,0.005,-30.79554109747772,7.795609973534994
85.0,34.0,0.005,-29.68816954592856,8.06834619826315
65.0,50.000004,0.005,-31.476382586766857,8.39645092276833
65.0,38.0,0.005,-29.00768294875752,8.044109471206909
65.0,50.000004,0.005,-31.476382586766857,8.39645092276833
45.0,34.0,0.005,-30.79554109747772,7.795609973534994
50.000004,34.0,0.005,-29.830801906704778,7.886419409713206
45.0,50.000004,0.005,-27.26281396373312,7.343007197189443
75.0,30.0,0.005,-30.427877432557388,8.32191448003804
65.0,22.0,0.005,-21.80213006743824,8.013341390109797
55.0,34.0,0.005,-20.860614986410614,7.3463680506319715
50.000004,50.000004,0.005,-27.105672150952714,7.5275607398564
80.0,42.000004,0.005,-32.027377731955106,8.486226850459857
80.0,22.0,0.005,-29.599736674981973,8.394370601563914
70.0,54.0,0.005,-38.031262474333836,8.733299725202757
50.000004,46.0,0.005,-30.34102786786299,8.054182437137108
80.0,54.0,0.005,-36.82958138868513,8.44153269344134
80.0,58.0,0.005,-36.81227449575219,8.365060229243356
65.0,30.0,0.005,-24.412082861018067,7.840874677384877
90.0,34.0,0.005,-26.59775451170426,7.9746244147389955
45.0,46.0,0.005,-29.30931611729326,7.579790336583815
55.0,30.0,0.005,-22.332239887633687,7.324457133427993
55.0,38.0,0.005,-22.68374453761465,7.572903350213078
50.000004,54.0,0.005,-28.211378908145313,7.771831346972728
50.000004,30.0,0.005,-29.36012052329785,7.611698168128026
45.0,30.0,0.005,-30.183754303287667,7.694795307872146
50.000004,26.0,0.005,-21.367685758630483,7.078824121882503
65.0,30.0,0.005,-24.412082861018067,7.840874677384877
70.0,58.0,0.005,-38.10407228598078,8.699655499619181
60.0,42.000004,0.005,-29.886471228697335,8.16877357008475
50.000004,42.000004,0.005,-23.23594144194958,7.409823476079783
85.0,50.000004,0.005,-24.76976537550974,8.42284331902981
80.0,30.0,0.005,-29.72773087824336,8.360415645430251
60.0,38.0,0.005,-25.394978667644036,7.869415067333687
65.0,42.000004,0.005,-34.17515931803714,8.456277107497332
50.000004,58.0,0.005,-27.076417159912985,7.846113090433679
50.000004,46.0,0.005,-30.34102786786299,8.054182437137108
80.0,26.0,0.005,-34.30192624952104,8.124580112684614
85.0,54.0,0.005,-35.36774534119582,8.364645239574982
55.0,22.0,0.005,-16.470063339539095,7.232626533554402
55.0,50.000004,0.005,-34.40077474719108,8.573069323131186
50.000004,50.000004,0.005,-27.105672150952714,7.5275607398564
55.0,42.000004,0.005,-28.802865263923458,7.971584781721032
80.0,30.0,0.005,-29.72773087824336,8.360415645430251
75.0,42.000004,0.005,-34.73060394219528,8.698363965805397
75.0,58.0,0.005,-38.015265007657455,8.55148001012767
60.0,30.0,0.005,-24.55482717274141,7.704228455421832
70.0,34.0,0.005,-30.57377236379266,8.212700431162787
55.0,54.0,0.005,-32.0002338159183,7.930875369825891
85.0,42.000004,0.005,-29.620027212969983,8.387861250674387
55.0,34.0,0.005,-20.860614986410614,7.3463680506319715
90.0,54.0,0.005,-31.866364853431612,8.133378175089833
85.0,54.0,0.005,-35.36774534119582,8.364645239574982
90.0,30.0,0.005,-31.238202758118632,8.145327293448021
50.000004,38.0,0.005,-28.299064677873336,7.54708540250457
60.0,58.0,0.005,-34.69452717830612,8.531706468811242
55.0,26.0,0.005,-19.07271875913697,7.167430460551052
75.0,26.0,0.005,-29.888005032830048,8.065983929700812
50.000004,22.0,0.005,-13.457972081893145,6.9318511301970105
65.0,34.0,0.005,-26.56659940084769,7.953364637304447
80.0,58.0,0.005,-36.81227449575219,8.365060229243356
75.0,30.0,0.005,-30.427877432557388,8.32191448003804
80.0,46.0,0.005,-28.72750019094768,8.554716520180044
75.0,42.000004,0.005,-34.73060394219528,8.698363965805397
70.0,22.0,0.005,-24.104877276971372,8.206096927253554
60.0,26.0,0.005,-20.165530594991395,7.50323024355635
55.0,58.0,0.005,-32.374651093077404,8.367261439854866
60.0,42.000004,0.005,-29.886471228697335,8.16877357008475
70.0,22.0,0.005,-24.104877276971372,8.206096927253554
90.0,26.0,0.005,-31.43284966132788,8.035648108187376
75.0,46.0,0.005,-28.74193348584498,8.529670281834813
60.0,50.000004,0.005,-32.359275734767905,8.614440620520831
65.0,54.0,0.005,-36.128846520720394,8.70196710976331
80.0,34.0,0.005,-30.167213741242794,8.37492979394892
85.0,50.000004,0.005,-24.76976537550974,8.42284331902981
70.0,58.0,0.005,-38.10407228598078,8.699655499619181
55.0,22.0,0.005,-16.470063339539095,7.232626533554402
65.0,46.0,0.005,-29.347518045250123,8.648875424449216
75.0,22.0,0.005,-26.501306105257772,8.181443291649462
65.0,58.0,0.005,-36.95172463181712,8.797320068768801
90.0,38.0,0.005,-28.909608588078985,7.988992088790867
85.0,30.0,0.005,-34.76656837435179,8.19102067497322
85.0,58.0,0.005,-34.64572951206801,8.244747637319728
80.0,38.0,0.005,-32.168505228299225,8.470685589719428
60.0,54.0,0.005,-33.1410866971539,8.29716937784551
90.0,34.0,0.005,-26.59775451170426,7.9746244147389955
50.000004,38.0,0.005,-28.299064677873336,7.54708540250457
80.0,50.000004,0.005,-31.68703085970422,8.474675835630642
70.0,26.0,0.005,-25.67669446801552,8.189379137542705
80.0,54.0,0.005,-36.82958138868513,8.44153269344134
60.0,26.0,0.005,-20.165530594991395,7.50323024355635
50.000004,26.0,0.005,-21.367685758630483,7.078824121882503
75.0,58.0,0.005,-38.015265007657455,8.55148001012767
85.0,46.0,0.005,-22.996748723779753,8.288016706512812
90.0,30.0,0.005,-31.238202758118632,8.145327293448021
85.0,34.0,0.005,-29.68816954592856,8.06834619826315
80.0,42.000004,0.005,-32.027377731955106,8.486226850459857
70.0,46.0,0.005,-27.3526024311823,8.643480942536229
90.0,50.000004,0.005,-22.399521645284437,8.2343502528325
60.0,34.0,0.005,-25.698592682529924,7.783879223661367
45.0,42.000004,0.005,-29.921421248190104,7.641901331106905
90.0,38.0,0.005,-28.909608588078985,7.988992088790867
85.0,22.0,0.005,-38.901599861912416,8.220238557302954
70.0,30.0,0.005,-27.941951818541185,8.055566205091122
80.0,50.000004,0.005,-31.68703085970422,8.474675835630642
75.0,34.0,0.005,-29.108944484359288,8.37402919984739
90.0,54.0,0.005,-31.866364853431612,8.133378175089833
60.0,46.0,0.005,-29.970206729291107,8.38840813132553
70.0,46.0,0.005,-27.3526024311823,8.643480942536229
45.0,58.0,0.005,-26.986921135754248,7.624393090976544
80.0,34.0,0.005,-30.167213741242794,8.37492979394892
90.0,26.0,0.005,-31.43284966132788,8.035648108187376
70.0,42.000004,0.005,-36.787883468736595,8.69613333237523
90.0,42.000004,0.005,-26.633177466830798,8.162443954239635
55.0,50.000004,0.005,-34.40077474719108,8.573069323131186
55.0,54.0,0.005,-32.0002338159183,7.930875369825891
55.0,42.000004,0.005,-28.802865263923458,7.971584781721032
75.0,38.0,0.005,-33.52583963607423,8.550610373948379
70.0,50.000004,0.005,-29.690790873547623,8.678972921131523
45.0,38.0,0.005,-29.78233857016591,7.719037663641521
70.0,38.0,0.005,-34.785728740873594,8.465570880434289
80.0,46.0,0.005,-28.72750019094768,8.554716520180044
50.000004,34.0,0.005,-29.830801906704778,7.886419409713206
90.0,58.0,0.005,-31.646512232555843,8.029549141655478
65.0,26.0,0.005,-21.995310184768837,7.74086510958822
90.0,50.000004,0.005,-22.399521645284437,8.2343502528325
85.0,38.0,0.005,-30.54205825977154,8.313211210279018
45.0,54.0,0.005,-25.377110687226114,7.2960894426321765
55.0,46.0,0.005,-33.281737069223375,8.4231280807443
75.0,54.0,0.005,-37.81359870390639,8.556290001351751
